Date,Average of SO2,Average of NO2,Average of SPM,Average of RSPM/PM10
02-01-2007,5.8,41,409.5,198.5
03-01-2007,4.15,20.15,140,79
05-01-2007,5.075,49.325,499,256.3333333
06-01-2007,4.1,38.35,355,185
08-01-2007,4.15,51.15,172.25,56
10-01-2007,4.1,39.6,315,98.5
11-01-2007,4.1,42.35,569,391
15-01-2007,5.5,62.85,372,172
16-01-2007,4.7,61,361,174.5
17-01-2007,4,46.5,455,223
18-01-2007,4.75,53.95,438,202
19-01-2007,4.5,58.25,357,116.5
22-01-2007,4.6,58.25,461.5,308
23-01-2007,4.95,56.5,447.5,219
24-01-2007,4.5,49,339.5,172
25-01-2007,4,48.35,369,241
29-01-2007,4.5,37,470.5,161
01-02-2007,5.25,53.1,339,208
02-02-2007,4.5,31.85,487,351
03-02-2007,4.35,27.25,234,86
04-02-2007,5.7,44.15,279.5,82.5
05-02-2007,10.8,94.55,276.5,113.5
07-02-2007,4,39.85,202,95
08-02-2007,3.666666667,45.675,117,39
11-02-2007,7.666666667,71.33333333,691,397
13-02-2007,7,42.6,179.3333333,81.33333333
14-02-2007,6.866666667,51.36666667,417.3333333,228.5
15-02-2007,4.25,27.85,194,135
16-02-2007,10.1,56.1,307,160
17-02-2007,12.5,59,285.5,152
19-02-2007,4.1,30.95,304.5,125.5
20-02-2007,10.025,48.375,329.75,139.25
21-02-2007,11.14,49.52,359.2,167.75
22-02-2007,4.1,34.75,299,120.5
23-02-2007,4.35,43.45,202.5,81
26-02-2007,11.58,60.78,408,216.25
27-02-2007,7.94,38.5,363.8,134
01-03-2007,5.65,45,368,159
04-03-2007,4.15,35.75,361.5,207
05-03-2007,4,35.65,283,159.5
07-03-2007,4,35.3,187,116
08-03-2007,4,36.8,145.5,48.5
09-03-2007,4,29.9,219.5,70
10-03-2007,6.975,72.675,436,238
11-03-2007,23.6,135.1,851,532
12-03-2007,4.15,40.25,499,156
13-03-2007,6.075,46.45,152.25,71.25
14-03-2007,5.15,42.7,202.5,91
15-03-2007,4,33,172,79
16-03-2007,4,35.45,237.5,60.5
19-03-2007,4.65,48,459,196.5
20-03-2007,6.775,43,228.5,84.5
21-03-2007,7.15,45.05,284.75,116.25
22-03-2007,4.35,36.1,316,152.5
23-03-2007,4,28.25,203.5,87
26-03-2007,5.733333333,32.475,298.5,109.5
27-03-2007,6.9,34.1,333.5,135.5
28-03-2007,4.15,34.35,263.5,155
29-03-2007,4.65,30.05,334,158.5
01-04-2007,5.5,30.65,324,174.5
04-04-2007,4.35,31.9,402,272
05-04-2007,4.25,39.15,348,150
06-04-2007,4.15,38.9,819.5,274
07-04-2007,4,37,153.5,59
10-04-2007,8.15,78.1,423.5,193.6666667
11-04-2007,15.2,115.1,1070,707
12-04-2007,13.15,73.825,589.5,277.75
13-04-2007,4.45,42.4,529.5,239
16-04-2007,4.5,41.15,790,224.5
17-04-2007,4.4,42.25,568,283.5
18-04-2007,4.15,43.15,796.5,331
19-04-2007,5,43.75,361,133
20-04-2007,4.8,41.65,678,314.5
23-04-2007,4.1,36.85,757,294.5
24-04-2007,4.85,46.55,636,263
25-04-2007,4.9,36.6,708,556
26-04-2007,4.55,32.75,607.5,203
27-04-2007,4.55,42.5,436,208.5
01-05-2007,5.1,40.35,315.5,141.5
02-05-2007,6.25,38,630.5,246
03-05-2007,4.55,39,372,145
04-05-2007,4.35,42.05,254.5,88
06-05-2007,4.25,40.5,526,156
07-05-2007,4.1,41.15,204,69.5
09-05-2007,4,35.3,322,#DIV/0!
10-05-2007,4.4,46.25,340.5,177.5
11-05-2007,9.275,76.7,670.75,390.5
12-05-2007,14.525,91.75,680.75,364
14-05-2007,4.7,42.65,254.5,110.5
15-05-2007,8.8,50.3,554.5,96
