Date,dewptm,tempm,vism,fog,hum,rain,wspdm,pressurem
01-01-2007,10.625,11.5,0.155,1,92.25,0,4.425,1018.375
02-01-2007,9.25,11.5,0.35,1,82.375,0,8.1,1019.125
03-01-2007,3.75,12.125,1.5875,1,53.125,0,11.5875,1018.625
04-01-2007,2.625,12.25,1.5,0,49.5,0,8.3375,1018.25
05-01-2007,2.375,10.875,1.4375,1,53,0,3.95,1019.875
06-01-2007,1.142857143,11.71428571,1.428571429,0,44.14285714,0,5.828571429,1021.714286
07-01-2007,0,9.375,1.5,0,50.5,0,6.25,1020.875
08-01-2007,3.375,9.625,1,0,61.25,0,3.9375,1019.75
09-01-2007,5.875,11.75,0.775,1,67.875,0,3.6875,1019.375
10-01-2007,5.75,11.5,0.8375,1,65,0,4.1875,1020.375
11-01-2007,4.75,10.375,0.8375,1,66.25,0,5.3375,1018.375
12-01-2007,3.714285714,10,0.814285714,1,64.14285714,0,2.928571429,1019.285714
13-01-2007,3.75,11.5,1.1875,1,56.5,0,7.1875,1018.5
14-01-2007,3.25,11.75,1.1875,1,53.25,0,6.2625,1016.625
15-01-2007,2.875,12,1.1875,1,56.375,0,4.8625,1016.125
16-01-2007,4.25,11.875,0.9375,1,58.375,0,5.325,1017
17-01-2007,4.875,13.25,1.375,0,54.75,0,7.65,1019.75
18-01-2007,5.625,13.75,1.1875,1,57.375,0,5.3375,1019
19-01-2007,7.375,14.375,1.0625,1,61.625,0,4.4,1016.875
20-01-2007,8,13.75,1.15,1,64.25,0,4.4,1016.5
21-01-2007,4.875,13.125,2.125,0,52.25,0,9.2625,1018.125
22-01-2007,3.875,12.375,2.125,0,53.375,0,7.6375,1018.625
23-01-2007,5.625,12.75,1.75,0,61.625,0,4.65,1021
24-01-2007,8.125,13.5,0.875,1,66.75,0,1.85,1020.75
25-01-2007,8.375,17,1.625,0,52.875,0,10.425,1016.875
26-01-2007,12.5,17.375,0.8125,1,70.625,0,3.475,1015.375
27-01-2007,13.875,17.25,0.7,1,78.625,0,3.4875,1016.5
28-01-2007,14.875,18.25,0.65,1,79,0,3.25,1017.5
29-01-2007,16.625,20,0.7525,1,78.25,1,2.55,1016.25
30-01-2007,15.125,19.375,1.5,0,73,0,3.7125,1017.375
31-01-2007,13.375,18.75,1.75,0,70,0,5.1,1018
01-02-2007,12.625,17.625,1.3125,1,71.25,0,8.3375,1016.75
02-02-2007,9.75,16.875,1.0625,1,63.625,0,0.2375,1017.125
03-02-2007,12.125,17.5,0.9,1,66.625,0,1.3875,1015.875
04-02-2007,11.125,18.375,1.0625,1,61.125,0,6.4875,1012.75
05-02-2007,11.375,18,1.275,1,64.25,0,5.1,1012.125
06-02-2007,13.25,20.125,1.6875,1,59.625,0,5.5625,1011.5
07-02-2007,14.375,17.625,1.25,1,76.375,0,3.95,1013.875
08-02-2007,14,17.25,0.8375,1,78.75,0,3.2625,1016.75
09-02-2007,14.75,17.125,0.9375,1,82.5,0,7.4125,1016.75
10-02-2007,15.25,16.375,1,0,91.625,1,11.8125,1013.25
11-02-2007,14.85714286,16.28571429,1.285714286,0,89.28571429,1,14.55714286,1012.571429
12-02-2007,13.5,16.375,1.375,0,81.125,0,3.4875,1013
13-02-2007,11.625,14.625,1.75,0,80.25,1,4.65,1010.75
14-02-2007,10,14.875,1.625,0,69.125,0,2.325,1014.375
15-02-2007,10.25,16.625,1.6875,1,64,0,3.25,1013.857143
16-02-2007,11.25,16,0.9375,1,69,0,2.325,1013.625
17-02-2007,9.5,15.25,1.1875,1,67,0,3.4875,1015.75
18-02-2007,11.5,16.375,1.5,1,68.75,0,1.4,1016
19-02-2007,11.375,17.875,1.5625,1,62.125,0,6.2625,1017.375
20-02-2007,9.285714286,17.28571429,1.5625,1,57.14285714,0,10.875,1016.875
21-02-2007,10.875,18.125,1.625,1,59.5,0,4.8625,1015.75
22-02-2007,12.25,19.625,1.4375,1,59.25,0,4.875,1013.875
23-02-2007,9,19,2.857142857,0,49.57142857,0,3.714285714,1013.285714
24-02-2007,11.125,19.375,1.625,0,57.625,0,2.5625,1012.875
25-02-2007,14,18.5,1.5,0,67.875,0,3.0125,1011.75
26-02-2007,12.75,18.75,1.4375,1,64.125,0,2.55,1010.75
27-02-2007,14.5,21.42857143,1.75,1,57.14285714,1,8.8125,1009.5
28-02-2007,15.5,18.75,1.5,0,76.875,1,10.6625,1009.875
01-03-2007,14.125,17.375,1.625,0,79.625,0,5.1125,1010.875
02-03-2007,11.25,16.75,1.38125,1,66.25,0,4.6375,1014.75
03-03-2007,9.875,17.25,1.5,0,57.5,0,6.725,1014.714286
04-03-2007,11,19.75,2.25,0,52.875,0,12.2875,1015.125
05-03-2007,9.75,20.5,1.75,0,44.75,0,11.8375,1014.375
06-03-2007,8,18.5,2,0,44.625,0,12.0375,1012.625
07-03-2007,9.375,18.25,2.75,0,50.25,0,8.575,1010.5
08-03-2007,9.5,19.125,2.75,0,51.875,0,6.4875,1010.625
09-03-2007,12.5,21.125,1.75,0,52.375,1,4.65,1011.25
10-03-2007,13,22.125,1.75,0,48.875,0,6.275,1012.875
11-03-2007,12.42857143,20.28571429,1.857142857,0,57.71428571,1,7.414285714,1012.142857
12-03-2007,15.875,17.5,1.125,0,87.625,1,13.1875,1012.375
13-03-2007,16.25,19.125,1.75,0,80.875,1,5.5625,1012.375
14-03-2007,10.42857143,17.28571429,2.428571429,0,59.42857143,0,3.714285714,1015.142857
15-03-2007,9.25,18.25,2.75,0,49.75,0,13.1875,1015.375
16-03-2007,9.875,20,2.5,0,45.625,0,14.8125,1012.25
17-03-2007,13.75,21.75,2,0,54,0,9.025,1011.428571
18-03-2007,15.625,23.625,1.875,0,56.25,0,5.1,1009.5
19-03-2007,16.875,25.875,1.75,0,52.5,1,5.0875,1010.125
20-03-2007,17.875,24.875,1.875,0,58.75,0,7.1875,1011.25
21-03-2007,17.375,24.25,1.875,0,59.75,1,4.175,1011.375
22-03-2007,17.125,22.83333333,1.625,0,65.16666667,0,40.0625,1012.375
23-03-2007,12,22.375,2.75,0,45.75,0,9.0375,1013.125
24-03-2007,12.25,22.375,2.5,0,47.125,0,7.875,1012.375
25-03-2007,11.375,23.5,2.75,0,41,0,13.425,1010.125
26-03-2007,11.25,24.125,9.75,0,37.375,0,10.425,1009.375
27-03-2007,12.85714286,24.85714286,2.571428571,0,42.57142857,0,7.4,1010.714286
28-03-2007,14.5,25.625,2.75,0,48.125,0,4.175,1011.5
29-03-2007,15.75,26.75,2,0,46.75,0,2.55,1010.375
30-03-2007,17,27.875,1.875,0,48.75,0,2.325,1009.125
31-03-2007,18.71428571,30.14285714,1.857142857,0,47.14285714,0,1.857142857,1008.857143
01-04-2007,15.75,29,1.875,0,41.625,0,3.9375,1008.625
02-04-2007,11,27,2.5,0,31.5,0,11.825,1009
03-04-2007,8,26,2.75,0,22.375,0,15.275,1008
04-04-2007,7.875,27.25,2.75,0,21.875,0,15.975,1008
05-04-2007,12,28.25,2.5,0,30.875,0,8.125,1008.375
06-04-2007,12,29.57142857,2.857142857,0,28.42857143,0,7.671428571,1008.142857
07-04-2007,14.875,27.75,2,0,37.25,1,5.325,1007.125
08-04-2007,14,26.875,2,0,37.5,0,6.4875,1006.625
09-04-2007,11.875,28.75,2.75,0,27.625,0,12.975,1006.5
10-04-2007,11.375,28.875,2.75,0,27.5,0,9.025,1005.125
11-04-2007,12.625,30,2,0,27.875,0,5.575,1003.75
12-04-2007,12.125,30,2,0,27.25,0,3.7,1004.125
13-04-2007,12.5,30.125,1.875,0,29.125,0,1.1625,1005.875
14-04-2007,18.125,30.5,2,0,42.125,0,1.8625,1007.125
15-04-2007,18.75,31.75,1.875,0,39.875,0,1.85,1006.875
16-04-2007,17.875,32.125,1.75,0,35.25,0,6.025,1005.625
17-04-2007,20.875,33.125,1.875,0,40.875,0,3.4875,1003.375
18-04-2007,17.375,30.125,2,0,37.625,0,12.0375,1008.375
19-04-2007,18.375,30.875,2,0,39.375,0,1.1625,1007.375
20-04-2007,15.5,31.75,2,0,29.375,0,4.65,1005.375
21-04-2007,14.25,31.125,2,0,28.375,0,4.4,1003.625
22-04-2007,14.875,31.625,2,0,31.125,0,4.175,1002.25
23-04-2007,12.5,33.5,1.75,0,19.625,0,8.1125,1001.875
24-04-2007,13,32.75,2,0,22.125,0,6.95,1002.142857
25-04-2007,13.25,32.25,1.875,0,25.625,0,3.0125,1002.375
26-04-2007,14,30.875,2,0,29.625,0,3.7,1004.75
27-04-2007,12.14285714,32,2,0,24.85714286,0,4.257142857,1005.142857
28-04-2007,11.875,33.375,2,0,23.5,0,1.8625,1004.375
29-04-2007,17.25,33.125,2,0,33.25,0,0.9375,1003.125
30-04-2007,19.375,33.5,2,0,35.25,0,6.95,1005.75
01-05-2007,19,33.25,2,0,34.25,0,10.6625,1006.625
02-05-2007,20.42857143,27.28571429,2,0,60.85714286,1,5.028571429,1005.857143
03-05-2007,20.25,31.5,1.875,0,46.5,0,2.3125,1003
04-05-2007,20.125,30.125,2,0,46.875,0,5.8,1004.625
05-05-2007,20.5,31.5,2.25,0,46.875,0,2.7875,1004.875
06-05-2007,18.75,30.75,2,0,40.75,0,4.1625,1002.125
07-05-2007,20.625,30.875,2,0,46.875,0,5.7875,1001.5
08-05-2007,20.85714286,33.57142857,2,0,39.57142857,0,9.275,1001
09-05-2007,19.25,32.375,1.8125,0,37,0,9.05,1001.5
10-05-2007,20.625,31.625,1.875,0,45.5,1,4.875,1001.75
11-05-2007,18.375,29.75,2,0,45.75,1,6.275,999.625
12-05-2007,18.125,29.625,1.875,0,42.75,0,5.557142857,1002.5
13-05-2007,20.75,31.25,2,0,44,0,5.1125,1002.25
14-05-2007,20.375,32.375,2,0,42,0,0,999.375
15-05-2007,20,36.14285714,2,0,33.14285714,0,5.028571429,996.5714286
16-05-2007,22.625,32.375,1.625,0,49.5,1,9.25,1001.25
17-05-2007,21.85714286,30.57142857,1.857142857,0,52,1,12.7,1002.285714
18-05-2007,22.625,33.25,2,0,46.875,0,3.2375,1001.375
19-05-2007,22.5,33.66666667,2,0,45.5,0,4.35,1001.5
20-05-2007,17.5,33.5,2,0,28,0,7.45,998.5
21-05-2007,15.625,33.625,2,0,25.625,0,10.65,998.625
22-05-2007,17.625,32.75,2,0,32.5,0,3.25,998.75
23-05-2007,15.25,33.125,2.25,0,27.5,0,3.9375,1000.571429
24-05-2007,13.71428571,33.57142857,2,0,26.42857143,0,2.914285714,999.4285714
25-05-2007,14.875,32.75,2,0,27.125,1,3.0125,999.2857143
26-05-2007,15.625,29.25,2,0,36,1,10.425,1003.875
27-05-2007,15.625,29.375,2,0,36.25,0,2.7875,1004.875
28-05-2007,13.25,31.875,2,0,26.25,0,6.725,1003.875
29-05-2007,12.75,31.85714286,2,0,22.71428571,0,23.375,1004.5
30-05-2007,14,31.875,2,0,26.75,1,4.6375,1004.375
31-05-2007,15.125,33,2,0,28.375,0,3.7,1003.25
01-06-2007,14.75,33.75,2,0,26.5,0,4.1625,1000.5
